wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;12;0;4;0;t0
dolnoœl¹skie;3208885;7547;1424262;658;t02
kujawsko-pomorskie;2156057;5094;958018;408;t04
lubelskie;1883047;6020;828203;826;t06
lubuskie;1108502;3385;487464;371;t08
³ódzkie;2628523;6027;1180353;514;t10
ma³opolskie;3382312;6390;1518159;592;t12
mazowieckie;6304918;17576;2811155;1580;t14
opolskie;937316;2423;421809;242;t16
podkarpackie;1720962;4105;766449;439;t18
podlaskie;1154382;2821;513409;328;t20
pomorskie;2642178;6029;1178793;596;t22
œl¹skie;4739022;11777;2122936;981;t24
œwiêtokrzyskie;1150582;2468;513819;246;t26
warmiñsko-mazurskie;1382493;3211;614885;361;t28
wielkopolskie;3818002;7725;1726094;751;t30
zachodniopomorskie;1858549;5085;819519;459;t32
ca³y kraj;40075742;97683;17885331;9352;t00
