wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;255;11;266;0.07;0.00;0.07;0;0;0;4;24;0;4614;309;4295;10;t0000;2022-04-17
dolnoœl¹skie;boles³awiecki;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0201;2022-04-17
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t0202;2022-04-17
dolnoœl¹skie;g³ogowski;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;t0203;2022-04-17
dolnoœl¹skie;górowski;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0204;2022-04-17
dolnoœl¹skie;jaworski;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;t0205;2022-04-17
dolnoœl¹skie;jeleniogórski;3;0;3;0.47;0;0.47;0;0;0;0;0;0;3;3;0;0;t0206;2022-04-17
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0207;2022-04-17
dolnoœl¹skie;k³odzki;1;0;1;0.06;0;0.06;0;0;0;0;0;0;16;1;15;0;t0208;2022-04-17
dolnoœl¹skie;legnicki;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0209;2022-04-17
dolnoœl¹skie;lubañski;1;0;1;0.18;0;0.18;0;0;0;1;0;0;3;1;2;0;t0210;2022-04-17
dolnoœl¹skie;lubiñski;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;t0211;2022-04-17
dolnoœl¹skie;lwówecki;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0212;2022-04-17
dolnoœl¹skie;milicki;1;0;1;0.27;0;0.27;0;0;0;0;0;0;3;1;2;0;t0213;2022-04-17
dolnoœl¹skie;oleœnicki;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;t0214;2022-04-17
dolnoœl¹skie;o³awski;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;t0215;2022-04-17
dolnoœl¹skie;polkowicki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0216;2022-04-17
dolnoœl¹skie;strzeliñski;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t0217;2022-04-17
dolnoœl¹skie;œredzki;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0218;2022-04-17
dolnoœl¹skie;œwidnicki;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t0219;2022-04-17
dolnoœl¹skie;trzebnicki;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;t0220;2022-04-17
dolnoœl¹skie;wa³brzyski;1;0;1;0.18;0;0.18;0;0;0;0;0;0;6;1;5;0;t0221;2022-04-17
dolnoœl¹skie;wo³owski;0;1;1;0;0.21;0.21;0;0;0;0;0;0;1;1;0;0;t0222;2022-04-17
dolnoœl¹skie;wroc³awski;2;0;2;0.13;0;0.13;0;0;0;0;0;0;15;2;13;0;t0223;2022-04-17
dolnoœl¹skie;z¹bkowicki;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0224;2022-04-17
dolnoœl¹skie;zgorzelecki;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0225;2022-04-17
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t0226;2022-04-17
dolnoœl¹skie;Jelenia Góra;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0261;2022-04-17
dolnoœl¹skie;Legnica;1;0;1;0.10;0;0.10;0;0;0;0;0;0;9;1;8;0;t0262;2022-04-17
dolnoœl¹skie;Wroc³aw;5;1;6;0.08;0.02;0.09;0;0;0;0;4;0;62;7;54;1;t0264;2022-04-17
dolnoœl¹skie;Wa³brzych;1;0;1;0.09;0;0.09;0;0;0;0;1;0;8;1;7;0;t0265;2022-04-17
kujawsko-pomorskie;aleksandrowski;1;0;1;0.18;0;0.18;0;0;0;0;0;0;4;1;3;0;t0401;2022-04-17
