data;liczba_szczepien_dziennie;dawka_2_dziennie;dawka_1_dziennie;dawka_3_dziennie;dawka_przypomianjaca_dziennie
2020-12-27;2170;0;2170;0;0
2020-12-28;4385;0;4385;0;0
2020-12-29;10027;0;10027;0;0
2020-12-30;20329;0;20329;0;0
2020-12-31;10612;0;10611;1;0
2021-01-01;1353;2;1351;0;0
2021-01-02;2262;0;2262;0;0
2021-01-03;640;0;640;0;0
2021-01-04;40623;2;40621;0;0
2021-01-05;55344;1;55343;0;0
2021-01-06;18761;0;18761;0;0
2021-01-07;30374;0;30374;0;0
2021-01-08;11831;0;11831;0;0
2021-01-09;2263;0;2263;0;0
2021-01-10;996;2;993;1;0
2021-01-11;47660;2;47658;0;0
2021-01-12;63443;0;63443;0;0
2021-01-13;55159;1;55158;0;0
2021-01-14;46574;3;46571;0;0
2021-01-15;26254;1;26253;0;0
2021-01-16;20994;17;20977;0;0
2021-01-17;12076;435;11641;0;0
2021-01-18;28350;2952;25396;2;0
2021-01-19;49453;8131;41322;0;0
2021-01-20;51257;14493;36763;1;0
2021-01-21;53035;14808;38227;0;0
2021-01-22;38227;5271;32956;0;0
2021-01-23;16878;1362;15516;0;0
2021-01-24;5370;557;4813;0;0
2021-01-25;73327;29581;43746;0;0
2021-01-26;132996;48420;84575;1;0
2021-01-27;104840;26629;78211;0;0
2021-01-28;89599;29536;60063;0;0
2021-01-29;43758;16142;27616;0;0
2021-01-30;16267;3124;13143;0;0
2021-01-31;8695;1397;7298;0;0
2021-02-01;57180;33401;23779;0;0
2021-02-02;114784;57548;57236;0;0
2021-02-03;121914;56138;65776;0;0
2021-02-04;107376;51712;55664;0;0
2021-02-05;52124;29710;22414;0;0
2021-02-06;24708;15751;8957;0;0
2021-02-07;16399;10195;6204;0;0
2021-02-08;33137;11783;21354;0;0
2021-02-09;89853;20286;69566;1;0
2021-02-10;113485;45146;68339;0;0
2021-02-11;111977;59134;52842;1;0
2021-02-12;75916;43844;32072;0;0
2021-02-13;35682;15307;20375;0;0
2021-02-14;14735;4886;9849;0;0
2021-02-15;36364;11811;24553;0;0
2021-02-16;71908;34050;37858;0;0
2021-02-17;155322;86075;69245;2;0
2021-02-18;175026;95217;79808;1;0
2021-02-19;103362;50488;52874;0;0
2021-02-20;36025;7742;28283;0;0
2021-02-21;16072;3640;12432;0;0
2021-02-22;43447;4171;39276;0;0
2021-02-23;71968;20629;51339;0;0
2021-02-24;161085;77269;83816;0;0
2021-02-25;175192;90926;84266;0;0
2021-02-26;103788;45801;57987;0;0
