wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4;0;0;0;t0
dolnoœl¹skie;3167955;4529;1420367;354;t02
kujawsko-pomorskie;2128426;3111;955429;286;t04
lubelskie;1849343;3052;823640;311;t06
lubuskie;1091005;1606;485740;108;t08
³ódzkie;2593980;3134;1176697;303;t10
ma³opolskie;3340492;4507;1513801;401;t12
mazowieckie;6209771;8851;2801635;823;t14
opolskie;925194;1153;420638;103;t16
podkarpackie;1696996;2545;763922;219;t18
podlaskie;1136050;1728;511160;205;t20
pomorskie;2608070;3878;1175273;364;t22
œl¹skie;4680071;6150;2117187;632;t24
œwiêtokrzyskie;1135738;1148;512221;107;t26
warmiñsko-mazurskie;1363696;1657;612796;108;t28
wielkopolskie;3770959;4418;1720879;457;t30
zachodniopomorskie;1831236;2557;816581;255;t32
ca³y kraj;39528986;54024;17827966;5036;t00
