data;liczba_szczepien_dziennie;dawka_2_dziennie;dawka_1_dziennie;dawka_3_dziennie;dawka_przypomianjaca_dziennie
2020-12-27;2170;0;2170;0;0
2020-12-28;4385;0;4385;0;0
2020-12-29;10028;0;10028;0;0
2020-12-30;20329;0;20329;0;0
2020-12-31;10612;0;10611;1;0
2021-01-01;1353;2;1351;0;0
2021-01-02;2262;0;2262;0;0
2021-01-03;640;0;640;0;0
2021-01-04;40625;2;40623;0;0
2021-01-05;55344;1;55343;0;0
2021-01-06;18761;0;18761;0;0
2021-01-07;30374;0;30374;0;0
2021-01-08;11831;0;11831;0;0
2021-01-09;2263;0;2263;0;0
2021-01-10;996;2;993;1;0
2021-01-11;47660;2;47658;0;0
2021-01-12;63445;0;63445;0;0
2021-01-13;55159;1;55158;0;0
2021-01-14;46575;3;46572;0;0
2021-01-15;26254;1;26253;0;0
2021-01-16;20995;17;20978;0;0
2021-01-17;12076;435;11641;0;0
2021-01-18;28351;2952;25397;2;0
2021-01-19;49454;8132;41322;0;0
2021-01-20;51258;14493;36764;1;0
2021-01-21;53035;14808;38227;0;0
2021-01-22;38228;5271;32957;0;0
2021-01-23;16879;1362;15517;0;0
2021-01-24;5370;557;4813;0;0
2021-01-25;73327;29581;43746;0;0
2021-01-26;132997;48419;84577;1;0
2021-01-27;104841;26630;78211;0;0
2021-01-28;89599;29536;60063;0;0
2021-01-29;43759;16143;27616;0;0
2021-01-30;16267;3124;13143;0;0
2021-01-31;8695;1397;7298;0;0
2021-02-01;57180;33401;23779;0;0
2021-02-02;114787;57549;57238;0;0
2021-02-03;121915;56139;65776;0;0
2021-02-04;107376;51712;55664;0;0
2021-02-05;52124;29710;22414;0;0
2021-02-06;24708;15751;8957;0;0
2021-02-07;16399;10195;6204;0;0
2021-02-08;33137;11783;21354;0;0
2021-02-09;89853;20286;69566;1;0
2021-02-10;113485;45146;68339;0;0
2021-02-11;111976;59134;52841;1;0
2021-02-12;75919;43847;32072;0;0
2021-02-13;35682;15307;20375;0;0
2021-02-14;14735;4886;9849;0;0
2021-02-15;36364;11811;24553;0;0
2021-02-16;71908;34050;37858;0;0
2021-02-17;155322;86075;69245;2;0
2021-02-18;175028;95218;79809;1;0
2021-02-19;103362;50488;52874;0;0
2021-02-20;36025;7742;28283;0;0
2021-02-21;16071;3640;12431;0;0
2021-02-22;43447;4171;39276;0;0
2021-02-23;71970;20630;51340;0;0
2021-02-24;161085;77268;83817;0;0
2021-02-25;175197;90927;84270;0;0
2021-02-26;103788;45801;57987;0;0
