wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;455;45;500;0.12;0.01;0.13;11;3;8;807;45;0;9835;586;9224;25;t0000;2022-05-11
dolnoœl¹skie;boles³awiecki;2;0;2;0.22;0;0.22;0;0;0;2;0;0;16;2;14;0;t0201;2022-05-11
dolnoœl¹skie;dzier¿oniowski;1;0;1;0.10;0;0.10;1;0;1;0;0;0;7;1;6;0;t0202;2022-05-11
dolnoœl¹skie;g³ogowski;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t0203;2022-05-11
dolnoœl¹skie;górowski;0;0;0;0;0;0;0;0;0;2;0;0;3;0;3;0;t0204;2022-05-11
dolnoœl¹skie;jaworski;1;0;1;0.20;0;0.20;0;0;0;0;0;0;3;1;2;0;t0205;2022-05-11
dolnoœl¹skie;jeleniogórski;0;0;0;0;0;0;0;0;0;0;0;0;11;1;10;0;t0206;2022-05-11
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0207;2022-05-11
dolnoœl¹skie;k³odzki;1;0;1;0.06;0;0.06;0;0;0;1;0;0;16;1;15;0;t0208;2022-05-11
dolnoœl¹skie;legnicki;1;0;1;0.18;0;0.18;0;0;0;0;0;0;12;1;11;0;t0209;2022-05-11
dolnoœl¹skie;lubañski;1;0;1;0.18;0;0.18;0;0;0;1;0;0;3;1;2;0;t0210;2022-05-11
dolnoœl¹skie;lubiñski;1;0;1;0.09;0;0.09;0;0;0;1;0;0;19;1;18;0;t0211;2022-05-11
dolnoœl¹skie;lwówecki;1;0;1;0.22;0;0.22;0;0;0;0;0;0;8;1;7;0;t0212;2022-05-11
dolnoœl¹skie;milicki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0213;2022-05-11
dolnoœl¹skie;oleœnicki;0;0;0;0;0;0;0;0;0;8;0;0;12;0;12;0;t0214;2022-05-11
dolnoœl¹skie;o³awski;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;t0215;2022-05-11
dolnoœl¹skie;polkowicki;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t0216;2022-05-11
dolnoœl¹skie;strzeliñski;1;0;1;0.23;0;0.23;0;0;0;4;0;0;7;1;6;0;t0217;2022-05-11
dolnoœl¹skie;œredzki;0;0;0;0;0;0;0;0;0;2;0;0;4;1;3;0;t0218;2022-05-11
dolnoœl¹skie;œwidnicki;0;0;0;0;0;0;0;0;0;0;0;0;19;2;17;0;t0219;2022-05-11
dolnoœl¹skie;trzebnicki;0;1;1;0;0.12;0.12;0;0;0;1;0;0;17;1;16;0;t0220;2022-05-11
dolnoœl¹skie;wa³brzyski;2;0;2;0.36;0;0.36;0;0;0;0;0;0;5;2;3;0;t0221;2022-05-11
dolnoœl¹skie;wo³owski;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;t0222;2022-05-11
dolnoœl¹skie;wroc³awski;2;1;3;0.13;0.06;0.19;0;0;0;9;0;0;62;6;56;0;t0223;2022-05-11
dolnoœl¹skie;z¹bkowicki;0;0;0;0;0;0;0;0;0;1;0;0;8;0;8;0;t0224;2022-05-11
dolnoœl¹skie;zgorzelecki;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0225;2022-05-11
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;t0226;2022-05-11
dolnoœl¹skie;Jelenia Góra;0;0;0;0;0;0;0;0;0;4;0;0;15;0;15;0;t0261;2022-05-11
