wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;317;27;344;0.08;0.01;0.09;0;0;0;21;35;0;6940;405;6521;14;t0000;2022-04-23
dolnoœl¹skie;boles³awiecki;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0201;2022-04-23
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;t0202;2022-04-23
dolnoœl¹skie;g³ogowski;0;1;1;0;0.11;0.11;0;0;0;0;0;0;15;1;14;0;t0203;2022-04-23
dolnoœl¹skie;górowski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0204;2022-04-23
dolnoœl¹skie;jaworski;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;1;t0205;2022-04-23
dolnoœl¹skie;jeleniogórski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0206;2022-04-23
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0207;2022-04-23
dolnoœl¹skie;k³odzki;1;0;1;0.06;0;0.06;0;0;0;0;0;0;13;1;12;0;t0208;2022-04-23
dolnoœl¹skie;legnicki;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;t0209;2022-04-23
dolnoœl¹skie;lubañski;1;0;1;0.18;0;0.18;0;0;0;0;0;0;1;1;0;0;t0210;2022-04-23
dolnoœl¹skie;lubiñski;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;t0211;2022-04-23
dolnoœl¹skie;lwówecki;2;0;2;0.44;0;0.44;0;0;0;0;0;0;2;2;0;0;t0212;2022-04-23
dolnoœl¹skie;milicki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0213;2022-04-23
dolnoœl¹skie;oleœnicki;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;t0214;2022-04-23
dolnoœl¹skie;o³awski;2;0;2;0.26;0;0.26;0;0;0;0;0;0;13;2;11;0;t0215;2022-04-23
dolnoœl¹skie;polkowicki;1;0;1;0.16;0;0.16;0;0;0;0;0;0;7;1;6;0;t0216;2022-04-23
dolnoœl¹skie;strzeliñski;2;0;2;0.46;0;0.46;0;0;0;0;0;0;8;2;6;0;t0217;2022-04-23
dolnoœl¹skie;œredzki;1;0;1;0.18;0;0.18;0;0;0;0;0;0;5;1;4;0;t0218;2022-04-23
dolnoœl¹skie;œwidnicki;1;0;1;0.06;0;0.06;0;0;0;0;0;0;14;1;13;0;t0219;2022-04-23
dolnoœl¹skie;trzebnicki;0;0;0;0;0;0;0;0;0;0;1;0;8;0;8;0;t0220;2022-04-23
dolnoœl¹skie;wa³brzyski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0221;2022-04-23
dolnoœl¹skie;wo³owski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0222;2022-04-23
dolnoœl¹skie;wroc³awski;2;0;2;0.13;0;0.13;0;0;0;0;0;0;26;2;24;0;t0223;2022-04-23
dolnoœl¹skie;z¹bkowicki;0;1;1;0;0.16;0.16;0;0;0;0;0;0;11;1;10;0;t0224;2022-04-23
dolnoœl¹skie;zgorzelecki;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0225;2022-04-23
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t0226;2022-04-23
dolnoœl¹skie;Jelenia Góra;1;0;1;0.13;0;0.13;0;0;0;0;0;0;5;2;3;0;t0261;2022-04-23
dolnoœl¹skie;Legnica;0;0;0;0;0;0;0;0;0;0;1;0;4;0;4;0;t0262;2022-04-23
dolnoœl¹skie;Wroc³aw;18;0;18;0.28;0;0.28;0;0;0;0;2;0;159;19;138;2;t0264;2022-04-23
dolnoœl¹skie;Wa³brzych;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t0265;2022-04-23
kujawsko-pomorskie;aleksandrowski;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0401;2022-04-23
kujawsko-pomorskie;brodnicki;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;t0402;2022-04-23
kujawsko-pomorskie;bydgoski;1;0;1;0.08;0;0.08;0;0;0;0;0;0;17;1;16;0;t0403;2022-04-23
kujawsko-pomorskie;che³miñski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0404;2022-04-23
